scenario,scale,architecture,eval_domain,eval_dataset,regime,baseline_regime,n_paired_seeds,improved_seed_count,declined_seed_count,tied_seed_count,mean_paired_delta,min_paired_delta,max_paired_delta
ADD,large,FasterRCNN,real_internal,BDD,synthetic_only,real_only,3,0,3,0,-0.13396997312823755,-0.13679268984875292,-0.13039360442076903
ADD,large,FasterRCNN,real_internal,BDD,hybrid_70_30,real_only,3,2,1,0,0.0020015540177439894,-0.0005188636319045092,0.004349863493474687
ADD,large,FasterRCNN,real_internal,BDD,hybrid_50_50,real_only,3,0,3,0,-0.011832173409566882,-0.01296349592831722,-0.010587158745984121
ADD,large,FasterRCNN,real_internal,BDD,hybrid_30_70,real_only,3,0,3,0,-0.023247240588822077,-0.024299610588414622,-0.022696296333751198
ADD,large,FasterRCNN,real_internal,BDD,real_only,synthetic_only,3,3,0,0,0.13396997312823755,0.13039360442076903,0.13679268984875292
ADD,large,FasterRCNN,real_internal,BDD,hybrid_70_30,synthetic_only,3,3,0,0,0.1359715271459815,0.1347434679142437,0.13689728730685247
ADD,large,FasterRCNN,real_internal,BDD,hybrid_50_50,synthetic_only,3,3,0,0,0.12213779971867066,0.11980644567478489,0.12382919392043569
ADD,large,FasterRCNN,real_internal,BDD,hybrid_30_70,synthetic_only,3,3,0,0,0.11072273253941546,0.10609399383235439,0.1140468750044525
ADD,large,FasterRCNN,synthetic_internal,SYNTHIA,synthetic_only,real_only,3,3,0,0,0.1665761430204938,0.1650083950427689,0.16848871611554428
ADD,large,FasterRCNN,synthetic_internal,SYNTHIA,hybrid_70_30,real_only,3,3,0,0,0.14375814858192523,0.14340792891955462,0.1442365540193351
ADD,large,FasterRCNN,synthetic_internal,SYNTHIA,hybrid_50_50,real_only,3,3,0,0,0.15109680274804918,0.1503340288769131,0.1517487238658311
ADD,large,FasterRCNN,synthetic_internal,SYNTHIA,hybrid_30_70,real_only,3,3,0,0,0.15944368205897289,0.15746481610094737,0.1610253189653037
ADD,large,FasterRCNN,synthetic_internal,SYNTHIA,real_only,synthetic_only,3,0,3,0,-0.1665761430204938,-0.16848871611554428,-0.1650083950427689
ADD,large,FasterRCNN,synthetic_internal,SYNTHIA,hybrid_70_30,synthetic_only,3,0,3,0,-0.02281799443856856,-0.0242521620962092,-0.0213784322358829
ADD,large,FasterRCNN,synthetic_internal,SYNTHIA,hybrid_50_50,synthetic_only,3,0,3,0,-0.01547934027244463,-0.016739992249713204,-0.013800739541365598
ADD,large,FasterRCNN,synthetic_internal,SYNTHIA,hybrid_30_70,synthetic_only,3,0,3,0,-0.007132460961520898,-0.0087665018022208,-0.0051674839321012855
ADD,large,YOLOv8m,real_internal,BDD,synthetic_only,real_only,3,0,3,0,-0.3284646188530452,-0.33515617761800864,-0.3226195836615232
ADD,large,YOLOv8m,real_internal,BDD,hybrid_70_30,real_only,3,0,3,0,-0.018972790240962583,-0.020637722008643222,-0.017894149440309537
ADD,large,YOLOv8m,real_internal,BDD,hybrid_50_50,real_only,3,0,3,0,-0.08518223049607793,-0.0860157142250455,-0.08434908914134231
ADD,large,YOLOv8m,real_internal,BDD,hybrid_30_70,real_only,3,0,3,0,-0.1104838170118036,-0.11383757806569561,-0.10788043671699127
ADD,large,YOLOv8m,real_internal,BDD,real_only,synthetic_only,3,3,0,0,0.3284646188530452,0.3226195836615232,0.33515617761800864
ADD,large,YOLOv8m,real_internal,BDD,hybrid_70_30,synthetic_only,3,3,0,0,0.3094918286120826,0.3042330843875882,0.3145184556093654
ADD,large,YOLOv8m,real_internal,BDD,hybrid_50_50,synthetic_only,3,3,0,0,0.24328238835696722,0.23743769553967722,0.2491404633929631
ADD,large,YOLOv8m,real_internal,BDD,hybrid_30_70,synthetic_only,3,3,0,0,0.21798080184124155,0.21473914694453192,0.221318599552313
ADD,large,YOLOv8m,synthetic_internal,SYNTHIA,synthetic_only,real_only,3,3,0,0,0.299484001996206,0.299061283683359,0.2997232809347118
ADD,large,YOLOv8m,synthetic_internal,SYNTHIA,hybrid_70_30,real_only,3,3,0,0,0.2772478557015281,0.27677600562698346,0.2778617254107058
ADD,large,YOLOv8m,synthetic_internal,SYNTHIA,hybrid_50_50,real_only,3,3,0,0,0.2663676228776068,0.26601865401191277,0.2668632833135679
ADD,large,YOLOv8m,synthetic_internal,SYNTHIA,hybrid_30_70,real_only,3,3,0,0,0.2819675154232861,0.2817347800764305,0.2823012101143186
ADD,large,YOLOv8m,synthetic_internal,SYNTHIA,real_only,synthetic_only,3,0,3,0,-0.299484001996206,-0.2997232809347118,-0.299061283683359
ADD,large,YOLOv8m,synthetic_internal,SYNTHIA,hybrid_70_30,synthetic_only,3,0,3,0,-0.022236146294677944,-0.022617444867816694,-0.0218057159598416
ADD,large,YOLOv8m,synthetic_internal,SYNTHIA,hybrid_50_50,synthetic_only,3,0,3,0,-0.03311637911859927,-0.03370462692279902,-0.032804158056979504
ADD,large,YOLOv8m,synthetic_internal,SYNTHIA,hybrid_30_70,synthetic_only,3,0,3,0,-0.017516486572920004,-0.017988500858281298,-0.016760073569040412
IS,small,FasterRCNN,real_internal,IS_real,synthetic_only,real_only,3,0,3,0,-0.037529644874654704,-0.039367272834837,-0.0361115005883249
IS,small,FasterRCNN,real_internal,IS_real,hybrid_70_30,real_only,3,0,3,0,-0.010891562422160902,-0.011906042682343097,-0.009039108994142606
IS,small,FasterRCNN,real_internal,IS_real,hybrid_50_50,real_only,3,0,3,0,-0.011120259218614268,-0.012652994349590801,-0.008735006605720602
IS,small,FasterRCNN,real_internal,IS_real,hybrid_30_70,real_only,3,0,3,0,-0.018162785814743,-0.0203264689426644,-0.014053852761426
IS,small,FasterRCNN,real_internal,IS_real,real_only,synthetic_only,3,3,0,0,0.037529644874654704,0.0361115005883249,0.039367272834837
IS,small,FasterRCNN,real_internal,IS_real,hybrid_70_30,synthetic_only,3,3,0,0,0.0266380824524938,0.0243819649983279,0.030328163840694398
IS,small,FasterRCNN,real_internal,IS_real,hybrid_50_50,synthetic_only,3,3,0,0,0.026409385656040434,0.0241387238877935,0.028375154595081595
IS,small,FasterRCNN,real_internal,IS_real,hybrid_30_70,synthetic_only,3,3,0,0,0.0193668590599117,0.017002125460663597,0.0220576478268989
IS,small,FasterRCNN,synthetic_internal,IS_synth,hybrid_70_30,synthetic_only,3,0,3,0,-0.3599772143691993,-0.3760646628881592,-0.3412300404145492
IS,small,FasterRCNN,synthetic_internal,IS_synth,hybrid_50_50,synthetic_only,3,0,3,0,-0.25977750430857927,-0.2847514984489573,-0.22426059298457185
IS,small,FasterRCNN,synthetic_internal,IS_synth,hybrid_30_70,synthetic_only,3,0,3,0,-0.1914995499785442,-0.2335021305117546,-0.157004314172622
IS,small,YOLOv8m,real_internal,IS_real,synthetic_only,real_only,3,0,3,0,-0.05401772407878197,-0.058646159218234,-0.0506807727538615
IS,small,YOLOv8m,real_internal,IS_real,hybrid_70_30,real_only,3,0,3,0,-0.003303787487763663,-0.004083134628878396,-0.002222932303867095
IS,small,YOLOv8m,real_internal,IS_real,hybrid_50_50,real_only,3,0,3,0,-0.004503098514190465,-0.0069485714528359985,-0.00043415985328310036
IS,small,YOLOv8m,real_internal,IS_real,hybrid_30_70,real_only,3,0,3,0,-0.011070055884685364,-0.014184906973609995,-0.006656843207258199
IS,small,YOLOv8m,real_internal,IS_real,real_only,synthetic_only,3,3,0,0,0.05401772407878197,0.0506807727538615,0.058646159218234
IS,small,YOLOv8m,real_internal,IS_real,hybrid_70_30,synthetic_only,3,3,0,0,0.050713936591018305,0.047075477223316,0.0545630245893556
IS,small,YOLOv8m,real_internal,IS_real,hybrid_50_50,synthetic_only,3,3,0,0,0.0495146255645915,0.0457776688114144,0.0525195949817817
IS,small,YOLOv8m,real_internal,IS_real,hybrid_30_70,synthetic_only,3,3,0,0,0.0429476681940966,0.0385413332906404,0.0462777417450461
IS,small,YOLOv8m,synthetic_internal,IS_synth,hybrid_70_30,synthetic_only,3,0,3,0,-0.37717807656536917,-0.395939621058606,-0.36259342705530984
IS,small,YOLOv8m,synthetic_internal,IS_synth,hybrid_50_50,synthetic_only,3,0,3,0,-0.26082311921699286,-0.28001453027091205,-0.23979388274204538
IS,small,YOLOv8m,synthetic_internal,IS_synth,hybrid_30_70,synthetic_only,3,0,3,0,-0.17902868269316083,-0.17984474602181377,-0.17793160666287167
