scenario,scale,architecture,regime,eval_domain,eval_dataset,score,seed_note,rank
ADD,large,FasterRCNN,hybrid_50_50,external,KITTI,0.2101761692955567,selected_seed_1,1.0
ADD,large,FasterRCNN,hybrid_30_70,external,KITTI,0.2094588492370751,selected_seed_3,2.0
ADD,large,FasterRCNN,hybrid_70_30,external,KITTI,0.2017928883139945,selected_seed_1,3.0
ADD,large,FasterRCNN,real_only,external,KITTI,0.201694829111606,selected_seed_3,4.0
ADD,large,FasterRCNN,synthetic_only,external,KITTI,0.1812153899409242,selected_seed_1,5.0
ADD,large,YOLOv8m,real_only,external,KITTI,0.2612653921270521,selected_seed_2,1.0
ADD,large,YOLOv8m,hybrid_70_30,external,KITTI,0.2585759859982708,selected_seed_2,2.0
ADD,large,YOLOv8m,hybrid_50_50,external,KITTI,0.2444536925382262,selected_seed_2,3.0
ADD,large,YOLOv8m,hybrid_30_70,external,KITTI,0.2412878876435444,selected_seed_1,4.0
ADD,large,YOLOv8m,synthetic_only,external,KITTI,0.1651853088093681,selected_seed_3,5.0
ADD,large,FasterRCNN,hybrid_70_30,real_internal,BDD,0.2186985701240401,mean_over_seeds,1.0
ADD,large,FasterRCNN,real_only,real_internal,BDD,0.2166970161062962,mean_over_seeds,2.0
ADD,large,FasterRCNN,hybrid_50_50,real_internal,BDD,0.2048648426967293,mean_over_seeds,3.0
ADD,large,FasterRCNN,hybrid_30_70,real_internal,BDD,0.1934497755174741,mean_over_seeds,4.0
ADD,large,FasterRCNN,synthetic_only,real_internal,BDD,0.0827270429780586,mean_over_seeds,5.0
ADD,large,YOLOv8m,real_only,real_internal,BDD,0.3901825272119301,mean_over_seeds,1.0
ADD,large,YOLOv8m,hybrid_70_30,real_internal,BDD,0.3712097369709675,mean_over_seeds,2.0
ADD,large,YOLOv8m,hybrid_50_50,real_internal,BDD,0.3050002967158521,mean_over_seeds,3.0
ADD,large,YOLOv8m,hybrid_30_70,real_internal,BDD,0.2796987102001265,mean_over_seeds,4.0
ADD,large,YOLOv8m,synthetic_only,real_internal,BDD,0.0617179083588849,mean_over_seeds,5.0
ADD,large,FasterRCNN,synthetic_only,synthetic_internal,SYNTHIA,0.2340428678484835,mean_over_seeds,1.0
ADD,large,FasterRCNN,hybrid_30_70,synthetic_internal,SYNTHIA,0.2269104068869626,mean_over_seeds,2.0
ADD,large,FasterRCNN,hybrid_50_50,synthetic_internal,SYNTHIA,0.2185635275760388,mean_over_seeds,3.0
ADD,large,FasterRCNN,hybrid_70_30,synthetic_internal,SYNTHIA,0.2112248734099149,mean_over_seeds,4.0
ADD,large,FasterRCNN,real_only,synthetic_internal,SYNTHIA,0.0674667248279897,mean_over_seeds,5.0
ADD,large,YOLOv8m,synthetic_only,synthetic_internal,SYNTHIA,0.3955913769822903,mean_over_seeds,1.0
ADD,large,YOLOv8m,hybrid_30_70,synthetic_internal,SYNTHIA,0.3780748904093703,mean_over_seeds,2.0
ADD,large,YOLOv8m,hybrid_70_30,synthetic_internal,SYNTHIA,0.3733552306876124,mean_over_seeds,3.0
ADD,large,YOLOv8m,hybrid_50_50,synthetic_internal,SYNTHIA,0.362474997863691,mean_over_seeds,4.0
ADD,large,YOLOv8m,real_only,synthetic_internal,SYNTHIA,0.0961073749860842,mean_over_seeds,5.0
IS,small,FasterRCNN,real_only,real_internal,IS_real,0.0439294954262564,mean_over_seeds,1.0
IS,small,FasterRCNN,hybrid_70_30,real_internal,IS_real,0.0330379330040955,mean_over_seeds,2.0
IS,small,FasterRCNN,hybrid_50_50,real_internal,IS_real,0.0328092362076421,mean_over_seeds,3.0
IS,small,FasterRCNN,hybrid_30_70,real_internal,IS_real,0.0257667096115134,mean_over_seeds,4.0
IS,small,FasterRCNN,synthetic_only,real_internal,IS_real,0.0063998505516017,mean_over_seeds,5.0
IS,small,YOLOv8m,real_only,real_internal,IS_real,0.06419318025837,mean_over_seeds,1.0
IS,small,YOLOv8m,hybrid_70_30,real_internal,IS_real,0.0608893927706063,mean_over_seeds,2.0
IS,small,YOLOv8m,hybrid_50_50,real_internal,IS_real,0.0596900817441795,mean_over_seeds,3.0
IS,small,YOLOv8m,hybrid_30_70,real_internal,IS_real,0.0531231243736846,mean_over_seeds,4.0
IS,small,YOLOv8m,synthetic_only,real_internal,IS_real,0.010175456179588,mean_over_seeds,5.0
IS,small,FasterRCNN,synthetic_only,synthetic_internal,IS_synth,0.5212043179015907,mean_over_seeds,1.0
IS,small,FasterRCNN,hybrid_30_70,synthetic_internal,IS_synth,0.3297047679230465,mean_over_seeds,2.0
IS,small,FasterRCNN,hybrid_50_50,synthetic_internal,IS_synth,0.2614268135930115,mean_over_seeds,3.0
IS,small,FasterRCNN,hybrid_70_30,synthetic_internal,IS_synth,0.1612271035323914,mean_over_seeds,4.0
IS,small,YOLOv8m,synthetic_only,synthetic_internal,IS_synth,0.7919178341423739,mean_over_seeds,1.0
IS,small,YOLOv8m,hybrid_30_70,synthetic_internal,IS_synth,0.6128891514492131,mean_over_seeds,2.0
IS,small,YOLOv8m,hybrid_50_50,synthetic_internal,IS_synth,0.5310947149253811,mean_over_seeds,3.0
IS,small,YOLOv8m,hybrid_70_30,synthetic_internal,IS_synth,0.4147397575770048,mean_over_seeds,4.0
